"";"ID";"Age";"Gender";"Education";"Country";"Ethnicity";"NScore";"EScore";"OScore";"AScore";"CScore";"Alcohol";"Amphet";"Amyl";"Benzos";"Caff";"Cannabis";"Choc";"Cokes";"Crack";"Ecstasy";"Heroin";"Ketamine";"Legalh";"LSD";"Meth";"Mushrooms";"Nicotine";"Semer";"VSA";"alcohol_user";"ecstasy_user";"cannabis_user";"stimulating_user"
"11";11;"25-34";"Female";"University degree";"UK";"White";"Very Low";"Average";"Low";"Low";"Average";"Used in Last Week";"Never Used";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used in Last Decade";"Used in Last Week";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Used over a Decade Ago";1;0;0;0
"12";12;"45-54";"Male";"Some college or university, no certificate or degree";"Other";"White";"Very Low";"Low";"Average";"Very Low";"Low";"Used in Last Week";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Day";"Used in Last Month";"Used in Last Week";"Used in Last Decade";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used in Last Decade";"Used in Last Day";"Never Used";"Never Used";1;1;1;0
"13";13;"55-64";"Female";"University degree";"UK";"White";"High";"Low";"Average";"Very Low";"Low";"Used in Last Week";"Used over a Decade Ago";"Never Used";"Used in Last Month";"Used in Last Day";"Used in Last Year";"Used in Last Week";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"14";14;"55-64";"Female";"Professional certificate/ diploma";"Canada";"White";"Very Low";"Average";"Average";"Average";"High";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";0;0;0;0
"15";15;"55-64";"Female";"Professional certificate/ diploma";"UK";"White";"Very Low";"Average";"Average";"Low";"Average";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
"16";16;"55-64";"Male";"University degree";"UK";"White";"Very Low";"Very Low";"Low";"Low";"Average";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Day";"Used over a Decade Ago";"Used in Last Week";"Used in Last Decade";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"17";17;"35-44";"Female";"Some college or university, no certificate or degree";"UK";"White";"Very Low";"Very Low";"Very Low";"Average";"Average";"Used in Last Day";"Never Used";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Used in Last Year";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"18";18;"45-54";"Male";"Left school at 16 years";"UK";"White";"Low";"Very Low";"Low";"Low";"Very Low";"Used in Last Day";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Month";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Used in Last Decade";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"19";19;"55-64";"Male";"University degree";"Australia";"White";"Average";"Low";"Average";"Very Low";"Very Low";"Used in Last Day";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Day";"Used in Last Year";"Used in Last Day";"Used in Last Decade";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Used in Last Decade";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";1;0;1;0
"20";20;"35-44";"Male";"Professional certificate/ diploma";"UK";"White";"Very Low";"Very Low";"Very Low";"Very Low";"Average";"Used in Last Month";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Day";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"21";21;"45-54";"Male";"Professional certificate/ diploma";"UK";"White";"Very Low";"Average";"Average";"Average";"Very Low";"Used in Last Day";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Year";"Never Used";"Never Used";1;0;0;0
"22";22;"65+";"Male";"Left school before 16 years";"UK";"White";"Very Low";"Low";"Low";"Low";"Average";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"23";23;"45-54";"Male";"University degree";"UK";"White";"Low";"Very Low";"Low";"Average";"Low";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"24";24;"45-54";"Male";"Left school at 16 years";"UK";"White";"Average";"Very Low";"Low";"Average";"Very Low";"Used in Last Day";"Used in Last Decade";"Used over a Decade Ago";"Used in Last Week";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;0;0;0
"25";25;"55-64";"Male";"University degree";"UK";"White";"Very Low";"Low";"Average";"Average";"Average";"Used in Last Week";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Week";"Used over a Decade Ago";"Used in Last Week";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
"26";26;"45-54";"Male";"Some college or university, no certificate or degree";"UK";"White";"Very Low";"Low";"Low";"Average";"Low";"Used in Last Week";"Used over a Decade Ago";"Used in Last Decade";"Never Used";"Used in Last Day";"Used over a Decade Ago";"Used in Last Week";"Used in Last Decade";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Used in Last Year";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"27";27;"55-64";"Female";"Left school at 18 years";"Canada";"White";"Low";"Very Low";"Very Low";"Low";"Average";"Used in Last Day";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Day";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
"28";28;"35-44";"Male";"University degree";"UK";"White";"Low";"Very Low";"Average";"Low";"Very Low";"Used in Last Day";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Decade";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Used over a Decade Ago";"Never Used";"Used in Last Year";"Used in Last Decade";"Never Used";"Never Used";1;0;1;0
"29";29;"35-44";"Female";"Masters degree";"UK";"White";"Low";"Very Low";"Low";"Average";"Average";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Month";"Used over a Decade Ago";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"30";30;"45-54";"Male";"Doctorate degree";"UK";"White";"Very Low";"Average";"Average";"Average";"Average";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";0;0;0;0
"31";31;"45-54";"Male";"Left school at 16 years";"UK";"White";"Low";"Very Low";"Low";"Very Low";"Low";"Used in Last Day";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Decade";"Never Used";"Never Used";1;0;0;0
"32";32;"35-44";"Female";"Left school at 16 years";"Other";"White";"Very Low";"Very Low";"Average";"Low";"Low";"Used in Last Year";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Year";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"33";33;"35-44";"Male";"University degree";"UK";"White";"Very Low";"Very Low";"Average";"Average";"Low";"Used in Last Day";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"34";34;"18-24";"Male";"University degree";"UK";"White";"Low";"Low";"Average";"Average";"Low";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"35";35;"35-44";"Male";"University degree";"USA";"Other";"Average";"Low";"Average";"Very Low";"Low";"Used in Last Month";"Used in Last Decade";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Week";"Used in Last Decade";"Used in Last Week";"Used in Last Decade";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Decade";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Week";"Never Used";"Used over a Decade Ago";1;0;0;0
"36";36;"65+";"Male";"Left school before 16 years";"UK";"White";"Very Low";"Very Low";"Very Low";"Low";"Low";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
"37";37;"35-44";"Male";"University degree";"UK";"White";"Very Low";"Low";"Average";"Low";"Very Low";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"38";38;"55-64";"Male";"Left school before 16 years";"USA";"White";"Low";"Low";"Average";"Low";"Low";"Used in Last Day";"Used over a Decade Ago";"Used in Last Decade";"Used over a Decade Ago";"Used in Last Day";"Used in Last Year";"Used in Last Month";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"39";39;"45-54";"Male";"University degree";"UK";"White";"Very Low";"Average";"Average";"Low";"Average";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Month";"Used over a Decade Ago";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"40";40;"65+";"Female";"Professional certificate/ diploma";"UK";"White";"Very Low";"Very Low";"Low";"Low";"Average";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used in Last Month";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"41";41;"35-44";"Male";"Masters degree";"UK";"White";"Low";"Low";"Average";"Very Low";"Average";"Used in Last Week";"Used over a Decade Ago";"Never Used";"Used in Last Decade";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"42";42;"35-44";"Female";"University degree";"UK";"White";"Low";"Low";"Average";"Average";"Low";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"43";43;"35-44";"Male";"Masters degree";"UK";"White";"Very Low";"Very Low";"Low";"Low";"Low";"Used in Last Day";"Never Used";"Used in Last Year";"Used in Last Week";"Used in Last Day";"Used in Last Decade";"Used in Last Month";"Used in Last Day";"Never Used";"Used in Last Month";"Never Used";"Used in Last Decade";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";1;1;0;1
"44";44;"35-44";"Male";"Professional certificate/ diploma";"UK";"White";"Very Low";"Low";"Low";"Low";"Very Low";"Used in Last Day";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Day";"Used in Last Year";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;1;1
"45";45;"25-34";"Male";"University degree";"UK";"Other";"Very Low";"Average";"Average";"Average";"Average";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";1;0;0;0
"46";46;"25-34";"Female";"University degree";"UK";"White";"Very Low";"Low";"Average";"Average";"Average";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"47";47;"45-54";"Female";"Some college or university, no certificate or degree";"Canada";"White";"Low";"Low";"Low";"Average";"Average";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used over a Decade Ago";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Used over a Decade Ago";1;0;0;0
"48";48;"45-54";"Male";"Masters degree";"UK";"White";"Very Low";"Average";"Average";"Average";"Average";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used over a Decade Ago";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"49";49;"45-54";"Male";"Left school at 16 years";"UK";"White";"Low";"Very Low";"Low";"Low";"Low";"Used in Last Day";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used in Last Week";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"50";50;"25-34";"Female";"Masters degree";"UK";"Mixed-White/Black";"Low";"Low";"Very Low";"Low";"Low";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Never Used";1;0;0;0
"51";51;"35-44";"Male";"Masters degree";"UK";"White";"Average";"Low";"Average";"Low";"Low";"Used in Last Day";"Used over a Decade Ago";"Used in Last Decade";"Used over a Decade Ago";"Used in Last Day";"Used in Last Year";"Used in Last Day";"Used in Last Decade";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Decade";"Used over a Decade Ago";"Never Used";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";1;1;1;0
"52";52;"45-54";"Male";"Professional certificate/ diploma";"Canada";"White";"Average";"Average";"Low";"Low";"Very Low";"Used in Last Decade";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Decade";"Never Used";"Never Used";0;0;0;0
"53";53;"55-64";"Female";"University degree";"UK";"White";"Very Low";"Low";"Low";"Average";"Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"54";54;"45-54";"Male";"Masters degree";"UK";"White";"Very Low";"Low";"Average";"Average";"Low";"Used in Last Week";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used over a Decade Ago";"Used in Last Week";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"55";55;"55-64";"Male";"Left school at 16 years";"UK";"White";"Low";"Average";"Low";"Low";"Very Low";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Used in Last Day";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Never Used";1;1;0;1
"56";56;"55-64";"Female";"Professional certificate/ diploma";"UK";"White";"Low";"Low";"Low";"Low";"Low";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"57";57;"35-44";"Female";"Some college or university, no certificate or degree";"UK";"White";"Low";"Low";"Very Low";"Low";"Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"58";58;"25-34";"Female";"University degree";"UK";"White";"Very Low";"Low";"Very Low";"Average";"Average";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";0;0;0;0
"59";59;"45-54";"Male";"Left school at 18 years";"UK";"White";"Low";"Low";"Average";"Low";"Low";"Used in Last Week";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used in Last Week";"Used in Last Week";"Used in Last Week";"Used in Last Decade";"Used in Last Year";"Used over a Decade Ago";"Used in Last Year";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Used in Last Decade";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;1;1;1
"60";60;"45-54";"Male";"University degree";"UK";"White";"Very Low";"Very Low";"Low";"Very Low";"Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"61";61;"25-34";"Female";"Doctorate degree";"UK";"White";"Average";"Low";"Average";"Low";"Low";"Used in Last Week";"Never Used";"Never Used";"Used in Last Year";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"62";62;"45-54";"Male";"Masters degree";"UK";"Asian";"Very Low";"Average";"Average";"Low";"Average";"Used in Last Week";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Month";"Used over a Decade Ago";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Used over a Decade Ago";1;0;0;0
"63";63;"25-34";"Male";"University degree";"UK";"White";"Very Low";"Very Low";"Very Low";"Very Low";"Average";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Never Used";1;0;0;0
"64";64;"45-54";"Male";"University degree";"UK";"White";"Average";"Low";"Low";"Low";"Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"65";65;"45-54";"Male";"Doctorate degree";"UK";"White";"Very Low";"Low";"Average";"Low";"Average";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Never Used";1;0;1;1
"66";66;"35-44";"Male";"Some college or university, no certificate or degree";"UK";"White";"Low";"Low";"Low";"Average";"Average";"Used in Last Week";"Never Used";"Never Used";"Used in Last Year";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
